Semente;Eixo Menor;Eixo Maior;Razao;Area;Perimetro
1;7.959582853;28.03056607;3.52161245;146;61.94112492
2;8.414090796;29.60054103;3.517972619;162;65.94112492
3;7.967216907;26.11520807;3.277833197;132.5;58.04163015
4;7.4671364;27.71210248;3.711208822;132.5;59.21320307
5;8.294558443;26.63822175;3.211529816;140.5;59.21320307
6;8.320769642;29.75590802;3.576100445;161;64.62741661
7;7.581448192;25.77260229;3.399429982;119.5;56.384776
8;8.884907826;26.94384872;3.032541164;159;59.59797907
9;8.352520637;28.19983086;3.376206069;152;63.11269784
10;8.271696833;29.60442574;3.579002753;160.5;64.04163015
11;7.951806529;26.4394693;3.324963856;135.5;59.35533845
12;8.76845043;30.32108217;3.457974976;175;64.97056246
13;8.336690425;29.6785385;3.559990475;161;64.62741661
14;9.38898114;27.78142417;2.958939182;172;61.79898953
15;8.50146922;29.0324973;3.414997637;163;64.76955199
16;7.179346694;24.17480148;3.367270381;110;53.11269784
17;8.090792102;28.18836677;3.48400582;149.5;61.35533845
18;7.454270147;27.80321958;3.729837936;131.5;61.35533845
19;8.244498504;28.0202997;3.398666357;150.5;62.52691138
20;8.494693163;28.23141855;3.323418281;153;63.45584369
21;8.337178943;24.66375423;2.958285338;134.5;54.52691138
22;8.060762565;27.12395819;3.364936999;141.5;60.18376553
23;8.155761813;25.03780455;3.069952891;135;54.76955199
24;7.074690468;28.89737345;4.084613112;131;61.94112492
25;8.573577121;28.73940634;3.352090491;159;62.97056246
26;8.909056392;31.1980694;3.501837683;179.5;68.04163015
27;8.113078295;27.32785662;3.368370873;140.5;60.87005723
28;7.74259688;25.39453537;3.279847286;123.5;56.04163015
29;8.139683262;25.92725735;3.185290694;134;57.94112492
30;7.529100602;27.83545126;3.697048655;136;59.79898953
31;8.31770439;31.29478079;3.762430032;170;67.45584369
32;7.75150137;28.16849505;3.633940536;144;59.25483322
33;8.097464625;26.79127209;3.308600079;138.5;59.6984843
34;8.481046071;27.61978865;3.256648816;153;61.45584369
35;8.438750378;26.9470142;3.193246985;137.5;59.21320307
36;8.695393287;28.87902037;3.32118622;159.5;64.04163015
37;8.294883385;30.02396949;3.619577044;159;66.28427076
38;11.99651419;24.59706735;2.050351208;110;53.59797907
41;8.246498208;27.1067788;3.287065384;138.5;57.01219261
42;7.831415149;27.29499851;3.485321362;137;60.28427076
43;10.47323521;29.85341443;2.850448199;152.5;64.04163015
44;15.45590801;24.25803354;1.569499089;129.5;56.52691138
45;7.792138029;27.30320746;3.503942995;139.5;60.18376553
46;7.94750972;25.04426542;3.151209159;128;54.97056246
48;14.76819418;28.71673601;1.94449881;156;63.25483322
49;13.2444505;24.58874253;1.856531724;133.5;57.35533845
50;8.418228397;25.6237505;3.043841208;139;58.28427076
51;7.951429068;25.34332004;3.187266065;131;55.94112492
52;6.46929558;24.45858223;3.780717997;99.5;52.87005723
53;8.216900102;28.40419726;3.456802067;149.5;62.87005723
54;7.449026889;20.80483967;2.792960742;97;46.97056246
55;10.23659891;25.21228533;2.462955281;116.5;55.6984843
56;8.164190501;28.62199566;3.505797134;147.5;62.384776
57;8.828375535;28.27143783;3.202337477;160.5;62.87005723
58;11.09006194;30.03559991;2.708334729;175.5;67.6984843
59;8.107708063;27.63813484;3.408871487;133.5;60.04163015
60;8.124914856;27.13102275;3.339237793;140;61.11269784
61;7.915184228;30.14272304;3.808214966;156;65.11269784
62;7.70718453;26.04210018;3.378938195;128.5;55.55634892
63;7.804279559;29.30678483;3.755219762;146;63.45584369
64;8.137310875;25.99578837;3.194641174;138;56.97056246
66;7.816758757;25.94750281;3.319470847;130;57.79898953
67;7.836597985;28.97086247;3.696867254;146.5;62.384776
68;7.767656299;25.46921356;3.278880087;127;55.94112492
69;7.963379119;28.2687598;3.549844781;150;60.42640615
70;8.100314145;28.65004802;3.536905792;152;61.79898953
71;8.326846596;27.03551092;3.246788638;142.5;59.21320307
72;16.97746722;26.59437831;1.56645146;132.5;59.84061968
73;8.877078579;27.24477257;3.069114724;159.5;59.21320307
74;7.99472374;30.036071;3.75698673;155;66.28427076
75;7.067047366;25.54474861;3.614628188;118.5;54.18376553
76;9.497419849;27.04345867;2.847453214;169;61.45584369
77;7.021358658;23.1786166;3.301158327;103.5;50.04163015
78;8.022858061;25.87041019;3.224587796;133.5;56.384776
79;6.635840064;24.65010621;3.714692634;104;53.45584369
80;8.194413629;28.61350294;3.491830438;153;62.42640615
81;8.488322502;24.09838327;2.839004204;130.5;53.55634892
82;8.82541358;26.96402962;3.055270937;157.5;60.18376553
83;8.451455999;27.74138389;3.282438421;149.5;61.21320307
84;8.476826562;28.99005621;3.419918527;161.5;64.18376553
85;7.691148567;26.54698391;3.451628021;130.5;58.52691138
86;7.553031407;28.15768565;3.727997957;136.5;59.55634892
87;8.073481577;26.29789241;3.257317449;134.5;57.55634892
88;8.642712401;29.48203408;3.411201567;165;63.79898953
89;15.16473866;26.95983964;1.777797841;144.5;59.35533845
90;11.03217303;25.51304904;2.312604142;128.5;56.52691138
91;8.297405905;29.15646623;3.513925504;156;62.97056246
92;8.426310925;29.63786694;3.517300418;159.5;63.55634892
93;7.983965934;27.02943662;3.385464923;139.5;59.6984843
94;8.212802093;27.00591323;3.288270303;143;59.79898953
95;8.128478178;28.65353602;3.52508002;151;62.62741661
96;8.453364449;28.33905762;3.35239984;155;62.28427076
97;7.849819162;29.13051162;3.710978689;148.5;62.66904676
98;9.314576311;28.90796042;3.103518556;173.5;64.87005723
99;8.336512145;26.85390329;3.221239629;145;59.79898953
;8.637010615;27.37151515;3.255530819;143.2736842;60.13241386
